Respondent ID,Region,ETA Office,Topic,Question,Answer,Score
141015753,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,B-Average,2
141015959,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,B-Average,2
141016212,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,B-Average,2
141016399,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,B-Average,2
141017281,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,C-Good,3
141017466,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,C-Good,3
141017642,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,C-Good,3
141017776,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,C-Good,3
141018016,Atlanta,Office of State Systems- UI,The amount of learning I experienced in this training was,Change Management,C-Good,3
141018215,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Change Management,C-Good,3
141018380,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Change Management,C-Good,3
141018524,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Change Management,C-Good,3
141018714,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Change Management,C-Good,3
141018952,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,C-Good,3
141019088,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,C-Good,3
141019237,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,C-Good,3
141019356,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,C-Good,3
141016212,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141016399,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141017281,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141017466,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141017642,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141017776,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141018016,Atlanta,Office of State Systems- UI,The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141018215,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141018380,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141018524,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141018714,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141018952,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141019088,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Connecting the Dots,C-Good,3
141015959,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141016212,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141016399,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141017281,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141017466,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141017642,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141017776,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141018016,Atlanta,Office of State Systems- UI,The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141018215,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141018380,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141018524,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,In Their Shoes,C-Good,3
141016212,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141016399,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141017281,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141017466,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141017642,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141017776,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141018016,Atlanta,Office of State Systems- UI,The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141018215,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141018380,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141018524,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141018714,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
141016212,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141016399,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141017281,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141017466,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141017642,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141017776,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141018016,Atlanta,Office of State Systems- UI,The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141018215,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141018380,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141018524,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141018714,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141018952,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
141017281,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141017466,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141017642,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141017776,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141018016,Atlanta,Office of State Systems- UI,The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141018215,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141018380,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141018524,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141018714,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141018952,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141019088,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141019237,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
141019356,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,C-Good,3
140248106,Boston,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
140248172,Boston,,The amount of learning I experienced in this training was,Change Management,D-Excellent,4
140248247,Boston,,The amount of learning I experienced in this training was,Change Management,D-Excellent,4
140245601,Boston,Office of Special Initiatives and Demonstrations,The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,D-Excellent,4
140248172,Boston,,The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,D-Excellent,4
140248247,Boston,,The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,D-Excellent,4
140248561,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,D-Excellent,4
140248611,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,D-Excellent,4
140248708,Boston,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,D-Excellent,4
140248871,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,D-Excellent,4
140248247,Boston,,The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
140248172,Boston,,The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
140248247,Boston,,The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
140248106,Boston,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Our Work Ahead,D-Excellent,4
140248172,Boston,,The amount of learning I experienced in this training was,Our Work Ahead,D-Excellent,4
140248247,Boston,,The amount of learning I experienced in this training was,Our Work Ahead,D-Excellent,4
140248708,Boston,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Our Work Ahead,D-Excellent,4
140248611,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,B-Average,2
140248871,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,B-Average,2
140247953,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,B-Average,2
140248611,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,B-Average,2
140248611,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,B-Average,2
140248708,Boston,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,The Art of Technical Assistance,B-Average,2
140247851,Boston,,The amount of learning I experienced in this training was,Our Work Ahead,B-Average,2
140248561,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Our Work Ahead,B-Average,2
140248611,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Our Work Ahead,B-Average,2
140248871,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Our Work Ahead,B-Average,2
140245601,Boston,Office of Special Initiatives and Demonstrations,The amount of learning I experienced in this training was,Change Management,C-Good,3
140247851,Boston,,The amount of learning I experienced in this training was,Change Management,C-Good,3
140247886,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,C-Good,3
140247953,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,C-Good,3
140247988,Boston,Office of State Systems- UI,The amount of learning I experienced in this training was,Change Management,C-Good,3
140248044,Boston,Office of State Systems- UI,The amount of learning I experienced in this training was,Change Management,C-Good,3
140247886,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,C-Good,3
140247953,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Core Partners: Collaborating to Acheive Success,C-Good,3
140245601,Boston,Office of Special Initiatives and Demonstrations,The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
140247886,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
140248172,Boston,,The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
140248871,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,C-Good,3
140245601,Boston,Office of Special Initiatives and Demonstrations,The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
140247886,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
140247953,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
140248871,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,C-Good,3
140245601,Boston,Office of Special Initiatives and Demonstrations,The amount of learning I experienced in this training was,Our Work Ahead,C-Good,3
140247886,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Our Work Ahead,C-Good,3
140247953,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Our Work Ahead,C-Good,3
140247988,Boston,Office of State Systems- UI,The amount of learning I experienced in this training was,Our Work Ahead,C-Good,3
140248044,Boston,Office of State Systems- UI,The amount of learning I experienced in this training was,Our Work Ahead,C-Good,3
140248561,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,A-Bad,1
140248708,Boston,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Change Management,A-Bad,1
140248561,Boston,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,A-Bad,1
144296388,Dallas,Office of Job Corps,The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144296685,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144296761,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144297253,Dallas,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144297438,Dallas,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144297626,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144297662,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144297718,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144297734,Dallas,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144297759,Dallas,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144297861,Dallas,Office of Job Corps,The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144298069,Dallas,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
144296388,Dallas,Office of Job Corps,The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
144296685,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
144296761,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
144297253,Dallas,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
144297438,Dallas,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
144297626,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
144297662,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
144297718,Dallas,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
144297734,Dallas,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,Customer Centered Design,D-Excellent,4
